accession	organism	kingdom	length	sp_cleavage_site
P51456	Oryctolagus cuniculus	Metazoa	178	20
P19111	Bos taurus	Metazoa	533	19
Q03472	Sus scrofa	Metazoa	202	28
Q8HYA9	Sus scrofa	Metazoa	185	20
Q9NQ25	Homo sapiens	Metazoa	335	22
P30988	Homo sapiens	Metazoa	474	24
Q9JLA3	Rattus norvegicus	Metazoa	1551	42
P80022	Solanum lycopersicum	Plants	230	25
B3EWG0	Penaeus monodon	Metazoa	93	21
P01348	Sus scrofa	Metazoa	182	24
P01900	Mus musculus	Metazoa	365	24
Q60736	Mus musculus	Metazoa	579	32
P26776	Sus scrofa	Metazoa	153	20
P86870	Vespa magnifica	Metazoa	225	23
Q02246	Homo sapiens	Metazoa	1040	30
Q0ZS88	Phlebotomus perniciosus	Metazoa	388	18
Q00802	Bombyx mori	Metazoa	256	17
O00626	Homo sapiens	Metazoa	93	24
P0CZ17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25
O95157	Homo sapiens	Metazoa	252	22
Q9C9G4	Arabidopsis thaliana	Plants	290	27
P97535	Rattus norvegicus	Metazoa	456	24
Q7JZV0	Drosophila melanogaster	Metazoa	117	16
Q8GTB6	Cannabis sativa	Plants	545	28
Q41015	Pisum sativum	Plants	217	26
P13087	Synsepalum dulcificum	Plants	220	29
P82103	Mytilus galloprovincialis	Metazoa	96	20
P20656	Saponaria officinalis	Plants	299	24
P20142	Homo sapiens	Metazoa	388	16
P29320	Homo sapiens	Metazoa	983	20
P51925	Sparus aurata	Metazoa	85	23
P31722	Rattus norvegicus	Metazoa	245	28
Q8WXF3	Homo sapiens	Metazoa	142	25
Q90WJ8	Anguilla japonica	Metazoa	166	24
P29026	Rhizopus oligosporus	Fungi	540	22
C9X4K4	Tityus discrepans	Metazoa	82	20
Q9HGE1	Humicola insolens	Fungi	227	36
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23
P04421	Bos taurus	Metazoa	147	18
P81492	Hirudinaria manillensis	Metazoa	84	20
Q9EQX0	Mus musculus	Metazoa	117	23
O02839	Sus scrofa	Metazoa	363	44
Q17043	Aplysia kurodai	Metazoa	556	19
C0HKG1	Clitoria ternatea	Plants	127	24
P22770	Gallus gallus	Metazoa	502	23
P00450	Homo sapiens	Metazoa	1065	19
Q53B59	Ophiophagus hannah	Metazoa	91	21
Q5FZI5	Protobothrops mucrosquamatus	Metazoa	144	23
Q9YGG9	Gloydius blomhoffii	Metazoa	157	21
D3Z9M3	Rattus norvegicus	Metazoa	109	16
Q7KRU8	Drosophila melanogaster	Metazoa	205	19
V5NC32	Agaricus xanthodermus	Fungi	600	25
Q9TSN6	Bubalus bubalis	Metazoa	142	18
P31419	Manduca sexta	Metazoa	161	20
Q2PS07	Fagopyrum esculentum	Plants	149	22
Q9XSW3	Sus scrofa	Metazoa	240	18
Q1RP79	Vipera nikolskii	Metazoa	138	16
P19204	Gallus gallus	Metazoa	406	19
P08118	Homo sapiens	Metazoa	114	20
P07897	Rattus norvegicus	Metazoa	2124	19
Q8NBK3	Homo sapiens	Metazoa	374	33
P0DMD3	Scolopendra mutilans	Metazoa	105	21
Q6WN34	Homo sapiens	Metazoa	429	25
P84527	Actinidia deliciosa	Plants	213	24
P02671	Homo sapiens	Metazoa	866	19
P01661	Mus musculus	Metazoa	131	20
Q9NR61	Homo sapiens	Metazoa	685	26
P59938	Olivierus martensii	Metazoa	57	21
P13389	Ovis aries	Metazoa	125	19
P15737	Hordeum vulgare	Plants	334	28
A4VBF0	Vipera nikolskii	Metazoa	138	16
Q9XFS7	Arabidopsis thaliana	Plants	118	25
Q99MA2	Rattus norvegicus	Metazoa	674	22
C9X4K7	Tityus discrepans	Metazoa	85	21
Q0IQK9	Oryza sativa subsp. japonica	Plants	116	25
Q08481	Mus musculus	Metazoa	727	17
P34174	Bombyx mori	Metazoa	164	22
P82102	Mytilus galloprovincialis	Metazoa	96	20
Q25154	Homarus americanus	Metazoa	134	24
Q6UWY5	Homo sapiens	Metazoa	402	28
P28906	Homo sapiens	Metazoa	385	31
Q5W280	Bombina orientalis	Metazoa	96	19
P01593	Homo sapiens	Metazoa	117	22
P85196	Lonomia obliqua	Metazoa	183	15
Q8MLZ7	Drosophila melanogaster	Metazoa	441	23
Q9YGN5	Gloydius brevicauda	Metazoa	154	23
Q26241	Rhodnius prolixus	Metazoa	202	23
Q8NCC3	Homo sapiens	Metazoa	412	33
P10493	Mus musculus	Metazoa	1245	28
Q45Z11	Oxyuranus scutellatus scutellatus	Metazoa	83	21
Q8UVU7	Cerrophidion godmani	Metazoa	137	16
Q15848	Homo sapiens	Metazoa	244	18
P08697	Homo sapiens	Metazoa	491	27
P12992	Heliothis virescens	Metazoa	564	19
P80221	Bos taurus	Metazoa	112	36
Q6QX33	Bothrops insularis	Metazoa	158	23
P01404	Dendroaspis angusticeps	Metazoa	81	21
O75556	Homo sapiens	Metazoa	95	18
P15473	Rattus norvegicus	Metazoa	292	27
P0DKU2	Pandinus imperator	Metazoa	145	15
Q90Y77	Protobothrops flavoviridis	Metazoa	138	16
P04276	Rattus norvegicus	Metazoa	476	16
P0DML3	Homo sapiens	Metazoa	217	26
P12706	Xenopus laevis	Metazoa	106	23
Q5DT21	Homo sapiens	Metazoa	86	19
P00711	Bos taurus	Metazoa	142	19
Q64550	Rattus norvegicus	Metazoa	535	29
P12346	Rattus norvegicus	Metazoa	698	19
Q9HBE5	Homo sapiens	Metazoa	538	19
P61626	Homo sapiens	Metazoa	148	18
P01322	Rattus norvegicus	Metazoa	110	24
F8S0Z5	Crotalus adamanteus	Metazoa	516	18
Q653V7	Oryza sativa subsp. japonica	Plants	885	33
P56526	Aspergillus niger	Fungi	985	25
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20
O54861	Rattus norvegicus	Metazoa	825	31
P01302	Bos taurus	Metazoa	131	29
Q9GQV7	Aedes aegypti	Metazoa	128	22
P00683	Mus musculus	Metazoa	149	25
Q9H4G1	Homo sapiens	Metazoa	147	28
P02681	Tachypleus tridentatus	Metazoa	195	20
P11598	Rattus norvegicus	Metazoa	505	24
Q5MIW7	Aedes albopictus	Metazoa	332	21
P80686	Tenebrio molitor	Metazoa	211	16
Q9BZW8	Homo sapiens	Metazoa	370	21
Q2HZ28	Bothrops erythromelas	Metazoa	138	16
P10959	Rattus norvegicus	Metazoa	549	18
O02826	Sus scrofa	Metazoa	111	20
P83400	Hottentotta tamulus	Metazoa	60	24
P30040	Homo sapiens	Metazoa	261	32
Q8BHN3	Mus musculus	Metazoa	944	32
O70280	Rattus norvegicus	Metazoa	212	26
Q9U8D1	Olivierus martensii	Metazoa	56	28
Q99538	Homo sapiens	Metazoa	433	17
Q9C8A4	Arabidopsis thaliana	Plants	58	24
P02783	Rattus norvegicus	Metazoa	112	21
P84296	Chironomus thummi thummi	Metazoa	161	16
P0C293	Androctonus crassicauda	Metazoa	80	22
P13599	Rattus norvegicus	Metazoa	366	22
Q9U572	Penaeus monodon	Metazoa	1670	14
Q61400	Mus musculus	Metazoa	265	33
A1XRN2	Metlapilcoatlus nummifer	Metazoa	166	19
P11150	Homo sapiens	Metazoa	499	22
P49257	Homo sapiens	Metazoa	510	30
P56513	Canis lupus familiaris	Metazoa	92	20
Q86QT3	Centruroides noxius	Metazoa	62	20
Q41638	Phaseolus angularis	Plants	292	20
Q8UUG2	Morone chrysops	Metazoa	79	22
P31110	Oryza sativa subsp. japonica	Plants	177	26
Q95VE9	Epiphyas postvittana	Metazoa	164	23
P01215	Homo sapiens	Metazoa	116	24
Q04457	Caenorhabditis elegans	Metazoa	562	16
P17454	Oryctolagus cuniculus	Metazoa	482	26
O95813	Homo sapiens	Metazoa	267	17
P32760	Gallus gallus	Metazoa	165	30
P10968	Triticum aestivum	Plants	212	26
P54762	Homo sapiens	Metazoa	984	17
P35625	Homo sapiens	Metazoa	211	23
Q9FRV1	Secale cereale	Plants	321	19
Q7ZT98	Ophiophagus hannah	Metazoa	239	18
P24807	Mus musculus	Metazoa	76	26
P33093	Macaca mulatta	Metazoa	217	26
Q95P90	Olivierus martensii	Metazoa	94	22
P13671	Homo sapiens	Metazoa	934	21
Q9NAX4	Dictyostelium discoideum	Other	464	17
P01658	Mus musculus	Metazoa	132	20
P02655	Homo sapiens	Metazoa	101	22
P49141	Monodelphis domestica	Metazoa	149	20
Q6UWI2	Homo sapiens	Metazoa	310	20
P01763	Homo sapiens	Metazoa	117	19
P12549	Chironomus thummi thummi	Metazoa	161	16
P69130	Oncorhynchus keta	Metazoa	211	23
P39039	Mus musculus	Metazoa	239	18
P14946	Lolium perenne	Plants	263	23
A0A0F7YYX3	Conus victoriae	Metazoa	196	25
P01274	Sus scrofa	Metazoa	180	20
P17046	Rattus norvegicus	Metazoa	411	26
P02775	Homo sapiens	Metazoa	128	34
P22455	Homo sapiens	Metazoa	802	21
P81383	Ophiophagus hannah	Metazoa	491	20
Q61738	Mus musculus	Metazoa	1179	33
Q6EER4	Bothriechis schlegelii	Metazoa	138	16
P02662	Bos taurus	Metazoa	214	15
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18
Q7Z5L0	Homo sapiens	Metazoa	202	24
P53634	Homo sapiens	Metazoa	463	24
C6JUP1	Micrurus corallinus	Metazoa	84	21
O64411	Zea mays	Plants	500	28
Q5JNJ5	Oryza sativa subsp. japonica	Plants	237	28
P30440	Felis catus	Metazoa	109	17
Q6JK69	Bothrops atrox	Metazoa	138	16
P05371	Rattus norvegicus	Metazoa	447	21
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19
I6S7G5	Scolopendra mutilans	Metazoa	84	16
K9MCH1	Micrurus laticollaris	Metazoa	81	21
P01236	Homo sapiens	Metazoa	227	28
P0DPV0	Scolopendra dehaani	Metazoa	101	23
Q9DF69	Gallus gallus	Metazoa	594	18
P07808	Rattus norvegicus	Metazoa	98	29
P10152	Bos taurus	Metazoa	148	23
P17715	Octodon degus	Metazoa	109	24
F1AWB0	Vaejovis mexicanus	Metazoa	82	22
Q28143	Bos taurus	Metazoa	456	35
P15169	Homo sapiens	Metazoa	458	20
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	20
Q7T2Q1	Echis multisquamatus	Metazoa	157	23
Q01584	Rhinella marina	Metazoa	183	20
P0DJD8	Homo sapiens	Metazoa	388	15
Q96LA5	Homo sapiens	Metazoa	508	19
P36222	Homo sapiens	Metazoa	383	21
O96559	Cimex lectularius	Metazoa	364	35
Q92643	Homo sapiens	Metazoa	395	27
Q9NZ53	Homo sapiens	Metazoa	605	32
Q6STF1	Gloydius halys	Metazoa	504	18
O46655	Sus scrofa	Metazoa	132	19
Q8ISL8	Apis mellifera	Metazoa	78	24
P84777	Tityus discrepans	Metazoa	61	23
P02648	Canis lupus familiaris	Metazoa	266	18
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26
P23472	Hevea brasiliensis	Plants	311	26
Q12841	Homo sapiens	Metazoa	308	20
P31779	Aquarana catesbeiana	Metazoa	153	24
Q9U8W7	Tachypleus tridentatus	Metazoa	316	27
F5CPD5	Micrurus altirostris	Metazoa	81	21
P78556	Homo sapiens	Metazoa	96	26
Q04791	Anas platyrhynchos	Metazoa	557	25
P09791	Trypanosoma brucei brucei	Other	129	27
A4LAR6	Grifola frondosa	Fungi	107	24
Q63376	Rattus norvegicus	Metazoa	662	46
P09871	Homo sapiens	Metazoa	688	15
P01614	Homo sapiens	Metazoa	121	19
P02879	Ricinus communis	Plants	576	35
W5XCJ6	Macrovipera lebetinus	Metazoa	154	23
P04439	Homo sapiens	Metazoa	365	24
P15529	Homo sapiens	Metazoa	392	34
P25311	Homo sapiens	Metazoa	298	20
O00206	Homo sapiens	Metazoa	839	23
Q9NL89	Bombyx mori	Metazoa	495	16
P09466	Homo sapiens	Metazoa	180	18
Q4PRD1	Daboia siamensis	Metazoa	146	23
Q5DW47	Apis mellifera	Metazoa	107	21
P28825	Mus musculus	Metazoa	747	20
P08887	Homo sapiens	Metazoa	468	19
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22
Q91XA9	Mus musculus	Metazoa	473	21
Q12546	Aspergillus ficuum	Fungi	614	22
Q41162	Robinia pseudoacacia	Plants	285	31
Q3Y5Z3	Bos taurus	Metazoa	240	17
Q13231	Homo sapiens	Metazoa	466	21
Q9YGP1	Trimeresurus stejnegeri	Metazoa	158	23
Q5K0E0	Androctonus amoreuxi	Metazoa	59	22
P01076	Solanum lycopersicum	Plants	77	32
Q8X150	Gaeumannomyces tritici	Fungi	618	16
P02743	Homo sapiens	Metazoa	223	19
P01180	Bos taurus	Metazoa	166	19
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Plants	274	25
P01189	Homo sapiens	Metazoa	267	26
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23
Q9PUB7	Micrurus corallinus	Metazoa	78	21
Q8H6Q0	Petunia hybrida	Plants	101	25
Q15465	Homo sapiens	Metazoa	462	23
Q9XIV8	Nicotiana tabacum	Plants	330	29
Q9XY87	Olivierus martensii	Metazoa	85	21
P81382	Calloselasma rhodostoma	Metazoa	516	18
P26732	Bombyx mori	Metazoa	92	19
C1IC48	Walterinnesia aegyptia	Metazoa	83	21
P51740	Rattus norvegicus	Metazoa	551	19
O64392	Triticum aestivum	Plants	146	21
P97515	Meriones unguiculatus	Metazoa	348	18
P02790	Homo sapiens	Metazoa	462	23
Q9Z0L3	Mus musculus	Metazoa	485	17
Q969J5	Homo sapiens	Metazoa	263	21
P13487	Leiurus hebraeus	Metazoa	59	22
P0DML2	Homo sapiens	Metazoa	217	26
Q9VYX7	Drosophila melanogaster	Metazoa	203	26
Q3V1G4	Mus musculus	Metazoa	746	20
Q8GT41	Platanus acerifolia	Plants	179	23
Q8T0W4	Pimpla hypochondriaca	Metazoa	77	23
P40199	Homo sapiens	Metazoa	344	34
Q7ZZN9	Protobothrops jerdonii	Metazoa	240	19
P09479	Gallus gallus	Metazoa	456	20
P35916	Homo sapiens	Metazoa	1363	24
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26
Q8UVZ7	Crotalus atrox	Metazoa	137	16
Q9FXT4	Oryza sativa subsp. japonica	Plants	417	55
P61917	Pan troglodytes	Metazoa	151	19
Q01117	Lipomyces kononenkoae	Fungi	624	28
Q9BX67	Homo sapiens	Metazoa	310	31
P06908	Canis lupus familiaris	Metazoa	248	17
Q7YSJ4	Dictyostelium discoideum	Other	708	19
P01493	Centruroides sculpturatus	Metazoa	87	19
P01299	Canis lupus familiaris	Metazoa	93	29
P12637	Canis lupus familiaris	Metazoa	410	19
P38574	Bos taurus	Metazoa	287	18
Q8J0K5	Talaromyces funiculosus	Fungi	282	39
O46167	Eratigena agrestis	Metazoa	68	17
Q9PTT2	Lepidobatrachus laevis	Metazoa	225	19
O94907	Homo sapiens	Metazoa	266	31
O18330	Apis mellifera	Metazoa	432	19
P25796	Cavia porcellus	Metazoa	391	19
Q8JFX7	Bungarus multicinctus	Metazoa	103	21
A9UGV6	Oryza sativa subsp. japonica	Plants	61	26
Q27081	Tachypleus tridentatus	Metazoa	400	23
P02754	Bos taurus	Metazoa	178	16
P26202	Oryctolagus cuniculus	Metazoa	137	20
P26729	Bombyx mori	Metazoa	92	19
P02817	Bos taurus	Metazoa	213	16
Q9S7Y7	Arabidopsis thaliana	Plants	915	27
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20
P02229	Chironomus thummi thummi	Metazoa	151	15
P30919	Rattus norvegicus	Metazoa	345	23
P10889	Mus musculus	Metazoa	100	27
K9L4P7	Penicillium chrysogenum	Fungi	604	18
P01218	Ovis aries	Metazoa	120	24
Q99467	Homo sapiens	Metazoa	661	23
Q6PW77	Sarocladium strictum	Fungi	499	25
P07730	Oryza sativa subsp. japonica	Plants	499	24
Q7Q7R8	Anopheles gambiae	Metazoa	89	29
P51688	Homo sapiens	Metazoa	502	20
P01009	Homo sapiens	Metazoa	418	24
Q09098	Mus musculus	Metazoa	99	23
P22394	Geotrichum candidum	Fungi	563	19
Q6TGQ8	Bothrops moojeni	Metazoa	502	18
Q8NHP8	Homo sapiens	Metazoa	589	41
P01329	Cavia porcellus	Metazoa	110	24
P13612	Homo sapiens	Metazoa	1032	33
P23515	Homo sapiens	Metazoa	440	24
Q8JGT7	Protobothrops mucrosquamatus	Metazoa	158	23
P01268	Bos taurus	Metazoa	115	25
Q6H3D4	Trimeresurus stejnegeri	Metazoa	138	16
P04217	Homo sapiens	Metazoa	495	21
P15467	Bos taurus	Metazoa	147	28
P0DPV1	Scolopendra dehaani	Metazoa	97	23
P19594	Glycine max	Plants	158	21
P31723	Penicillium citrinum	Fungi	511	35
P02742	Oryctolagus cuniculus	Metazoa	225	20
P25289	Lymnaea stagnalis	Metazoa	137	31
Q02809	Homo sapiens	Metazoa	727	18
O46166	Eratigena agrestis	Metazoa	68	17
P42889	Myocastor coypus	Metazoa	111	17
P14209	Homo sapiens	Metazoa	185	22
P0C908	Buthus israelis	Metazoa	59	22
P49256	Canis lupus familiaris	Metazoa	356	44
A0A1S6EK92	Moringa oleifera	Plants	79	20
P52798	Homo sapiens	Metazoa	201	25
Q75N35	Dioscorea polystachya	Plants	272	25
P00757	Mus musculus	Metazoa	256	17
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18
P55083	Homo sapiens	Metazoa	255	21
P86798	Cupiennius salei	Metazoa	140	19
O95994	Homo sapiens	Metazoa	175	20
A0A161AT60	Pisum sativum	Plants	120	25
P01833	Homo sapiens	Metazoa	764	18
Q6H3D0	Trimeresurus stejnegeri	Metazoa	138	16
P09656	Rattus norvegicus	Metazoa	79	23
P01831	Mus musculus	Metazoa	162	19
P01920	Homo sapiens	Metazoa	261	32
P48745	Homo sapiens	Metazoa	357	31
P20333	Homo sapiens	Metazoa	461	22
P14944	Carcinus maenas	Metazoa	142	26
Q27972	Bos taurus	Metazoa	361	24
P01443	Naja atra	Metazoa	81	21
Q3HLQ4	Protobothrops mucrosquamatus	Metazoa	138	16
P04706	Zea mays	Plants	223	19
P82007	Helianthus annuus	Plants	116	26
Q99519	Homo sapiens	Metazoa	415	47
P22922	Bombyx mori	Metazoa	392	16
Q6H3C7	Trimeresurus stejnegeri	Metazoa	139	16
P29392	Bos taurus	Metazoa	134	20
P20826	Mus musculus	Metazoa	273	25
P25942	Homo sapiens	Metazoa	277	20
Q9ZT66	Zea mays	Plants	303	43
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	20
P14448	Gallus gallus	Metazoa	741	18
P27485	Sus scrofa	Metazoa	201	18
P01229	Homo sapiens	Metazoa	141	20
P11218	Urtica dioica	Plants	372	23
P17572	Meleagris gallopavo	Metazoa	229	30
Q8JI40	Gloydius blomhoffii	Metazoa	240	19
P42098	Sus scrofa	Metazoa	421	22
P01597	Homo sapiens	Metazoa	117	22
P32004	Homo sapiens	Metazoa	1257	19
Q8N0W4	Homo sapiens	Metazoa	816	41
C6JUN9	Micrurus corallinus	Metazoa	158	23
P02789	Gallus gallus	Metazoa	705	19
P25331	Bombyx mori	Metazoa	88	26
Q06576	Tamias sibiricus	Metazoa	215	28
P81294	Juniperus ashei	Plants	367	21
P04058	Tetronarce californica	Metazoa	586	21
P84810	Buthus occitanus tunetanus	Metazoa	91	22
C0HL65	Drosophila melanogaster	Metazoa	105	18
Q94K85	Arabidopsis thaliana	Plants	359	26
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24
P16225	Sus scrofa	Metazoa	187	21
I2C090	Ophiophagus hannah	Metazoa	1641	22
Q5WPU9	Lutzomyia longipalpis	Metazoa	399	18
P01131	Bos taurus	Metazoa	845	21
P68248	Gallus gallus	Metazoa	80	25
P08001	Sus scrofa	Metazoa	415	16
Q92154	Coturnix japonica	Metazoa	620	17
P82900	Triticum aestivum	Plants	96	29
P80162	Homo sapiens	Metazoa	114	37
P19320	Homo sapiens	Metazoa	739	24
Q13478	Homo sapiens	Metazoa	541	18
Q9ATH2	Corylus avellana	Plants	115	23
P05090	Homo sapiens	Metazoa	189	20
P10619	Homo sapiens	Metazoa	480	28
Q7YZS9	Conus virgo	Metazoa	67	26
A7VN15	Protobothrops flavoviridis	Metazoa	79	19
Q5PP12	Arabidopsis thaliana	Plants	69	25
O00300	Homo sapiens	Metazoa	401	21
P25068	Bos taurus	Metazoa	64	26
P00655	Aspergillus giganteus	Fungi	177	27
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18
P27797	Homo sapiens	Metazoa	417	17
Q08879	Mus musculus	Metazoa	705	29
Q5D231	Illawarra wisharti	Metazoa	84	18
P12068	Sus scrofa	Metazoa	146	18
X2JCV5	Cerastes cerastes	Metazoa	516	18
P00616	Oxyuranus scutellatus scutellatus	Metazoa	152	19
Q8TC27	Homo sapiens	Metazoa	787	16
Q53B47	Ophiophagus hannah	Metazoa	78	21
P02710	Tetronarce californica	Metazoa	461	24
Q8JIW1	Deinagkistrodon acutus	Metazoa	146	23
C4NZN9	Hyas araneus	Metazoa	131	16
P50448	Bos taurus	Metazoa	468	23
P02784	Bos taurus	Metazoa	134	25
P56722	Bos taurus	Metazoa	979	34
Q9HE18	Talaromyces funiculosus	Fungi	353	18
Q9Z1K9	Rattus norvegicus	Metazoa	827	17
P42705	Canis lupus familiaris	Metazoa	352	23
P15309	Homo sapiens	Metazoa	386	32
P09056	Mus musculus	Metazoa	203	23
P08174	Homo sapiens	Metazoa	381	34
P55000	Homo sapiens	Metazoa	103	22
P86403	Mesobuthus eupeus	Metazoa	85	19
P10673	Canis lupus familiaris	Metazoa	170	23
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24
P40967	Homo sapiens	Metazoa	661	24
Q9UKZ9	Homo sapiens	Metazoa	415	23
P81025	Oreochromis niloticus	Metazoa	113	24
Q9H1E1	Homo sapiens	Metazoa	156	28
P23142	Homo sapiens	Metazoa	703	29
O60449	Homo sapiens	Metazoa	1722	27
P50228	Mus musculus	Metazoa	132	40
P19137	Mus musculus	Metazoa	3083	24
P02780	Rattus norvegicus	Metazoa	95	18
Q9Z0J8	Rattus norvegicus	Metazoa	348	31
P10669	Sus scrofa	Metazoa	344	29
P05543	Homo sapiens	Metazoa	415	20
P16382	Mus musculus	Metazoa	810	25
Q16552	Homo sapiens	Metazoa	155	23
Q96PD4	Homo sapiens	Metazoa	163	30
Q95121	Bos taurus	Metazoa	416	20
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19
P07380	Equus caballus	Metazoa	181	18
P69241	Raphanus sativus	Plants	80	29
E0XKJ8	Tabanus yao	Metazoa	256	16
P09237	Homo sapiens	Metazoa	267	17
P02788	Homo sapiens	Metazoa	710	19
Q8IVL8	Homo sapiens	Metazoa	374	20
P11912	Homo sapiens	Metazoa	226	32
P51918	Haplochromis burtoni	Metazoa	94	22
Q9SLP4	Tulipa saxatilis subsp. bakeri	Plants	314	26
P12273	Homo sapiens	Metazoa	146	28
O09049	Mus musculus	Metazoa	174	26
C0HLL2	Pithecopus azureus	Metazoa	146	18
P09586	Mus musculus	Metazoa	222	31
Q9GU69	Lymnaea stagnalis	Metazoa	64	21
P16030	Bauhinia purpurea	Plants	290	28
P42292	Gallus gallus	Metazoa	588	33
U6BLZ9	Penicillium canescens	Fungi	463	26
P01036	Homo sapiens	Metazoa	141	20
Q15084	Homo sapiens	Metazoa	440	19
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24
P68416	Hydrophis hardwickii	Metazoa	81	21
P14765	Ovis aries	Metazoa	97	28
I6RU32	Scolopendra mutilans	Metazoa	74	23
Q92563	Homo sapiens	Metazoa	424	22
P81295	Juniperus ashei	Plants	225	26
P80426	Salmo salar	Metazoa	690	18
P01563	Homo sapiens	Metazoa	188	23
P31231	Pelophylax lessonae	Metazoa	420	22
A0A7E5WTY7	Trichoplusia ni	Metazoa	211	20
P60042	Rattus norvegicus	Metazoa	116	24
Q9V496	Drosophila melanogaster	Metazoa	3351	25
Q9NBG9	Olivierus martensii	Metazoa	59	22
Q16927	Aedes aegypti	Metazoa	2169	46
P05155	Homo sapiens	Metazoa	500	22
P13213	Bos taurus	Metazoa	303	17
P10298	Cyprinus carpio	Metazoa	210	23
Q9C5S0	Arabidopsis thaliana	Plants	191	20
P06276	Homo sapiens	Metazoa	602	28
P34207	Rattus norvegicus	Metazoa	223	28
F2QXM5	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19
P83632	Galleria mellonella	Metazoa	236	17
P01168	Sus scrofa	Metazoa	116	24
P01086	Hordeum vulgare	Plants	148	24
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23
O42446	Oreochromis mossambicus	Metazoa	284	26
P00747	Homo sapiens	Metazoa	810	19
Q10588	Homo sapiens	Metazoa	318	32
Q9QYH7	Rattus norvegicus	Metazoa	117	23
P01742	Homo sapiens	Metazoa	117	19
P20757	Ovis aries	Metazoa	476	24
P04280	Homo sapiens	Metazoa	392	16
P45561	Sus scrofa	Metazoa	189	16
Q8LD43	Arabidopsis thaliana	Plants	62	22
P19438	Homo sapiens	Metazoa	455	29
P42578	Lymnaea stagnalis	Metazoa	239	18
P14423	Rattus norvegicus	Metazoa	146	21
Q9W7J5	Pseudonaja textilis	Metazoa	103	21
P07529	Naganishia albida	Fungi	332	21
Q6UWK7	Homo sapiens	Metazoa	81	24
Q95460	Homo sapiens	Metazoa	341	22
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23
P45628	Leiurus hebraeus	Metazoa	59	22
Q70SU7	Salvelinus alpinus	Metazoa	342	19
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20
P31720	Rattus norvegicus	Metazoa	245	22
P80109	Bos taurus	Metazoa	839	23
P02701	Gallus gallus	Metazoa	152	24
Q86YT9	Homo sapiens	Metazoa	394	19
P37042	Gallus gallus	Metazoa	92	23
Q56EB1	Bothrops jararaca	Metazoa	155	23
E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18
Q02862	Mus musculus	Metazoa	184	15
Q06K77	Phlebotomus duboscqi	Metazoa	336	21
Q8BSU2	Mus musculus	Metazoa	246	26
Q15582	Homo sapiens	Metazoa	683	23
Q5FWE3	Homo sapiens	Metazoa	981	27
P01239	Bos taurus	Metazoa	229	30
P48765	Bos taurus	Metazoa	970	32
P55955	Caenorhabditis elegans	Metazoa	132	19
Q9Y624	Homo sapiens	Metazoa	299	27
Q15768	Homo sapiens	Metazoa	340	27
P12318	Homo sapiens	Metazoa	317	33
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19
Q6Z232	Oryza sativa subsp. japonica	Plants	146	42
Q8H8C7	Oryza sativa subsp. japonica	Plants	356	28
Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18
O77541	Oryctolagus cuniculus	Metazoa	124	24
Q9NJ98	Manduca sexta	Metazoa	487	19
P0C2F4	Heterometrus laoticus	Metazoa	95	19
P21754	Homo sapiens	Metazoa	424	22
Q95VP2	Epiphyas postvittana	Metazoa	161	20
P00751	Homo sapiens	Metazoa	764	25
Q86LE5	Rhipicephalus microplus	Metazoa	110	20
Q8J0I9	Trichoderma harzianum	Fungi	490	28
P97884	Rattus norvegicus	Metazoa	96	26
P15358	Haementeria officinalis	Metazoa	136	17
Q01460	Rattus norvegicus	Metazoa	367	23
Q39688	Daucus carota	Plants	389	24
P02649	Homo sapiens	Metazoa	317	18
P61870	Penicillium camembertii	Fungi	305	26
P01594	Homo sapiens	Metazoa	117	22
